"","Team","FBS","ELO"
"1","Boston College",1,1615.19438234269
"2","Holy Cross",0,1222.45348660543
"3","Harvard",0,1200
"4","Northeastern",0,1189.89874350633
"5","Long Island University",0,1200
"6","UMass",1,1259.58082677606
"7","Towson",0,1200
"8","Arizona",1,1334.07104409479
"9","Maryland",1,1433.08506081676
"10","Michigan State",1,1549.34495822896
"11","Cal Poly",0,1188.54254124582
"12","Michigan",1,1645.35477894258
"13","Minnesota",1,1561.72914778341
"14","Missouri",1,1606.19838509324
"15","Ole Miss",1,1431.58178803278
"16","Montana State",0,1190.53803070297
"17","Montana",0,1256.39366701411
"18","Duke",1,1462.86476561565
"19","East Carolina",1,1464.77324148994
"20","NC State",1,1535.05767627816
"21","North Carolina",1,1540.82247456003
"22","Wake Forest",1,1480.59239639837
"23","North Dakota",0,1194.68948408191
"24","Nebraska",1,1652.74734441556
"25","Dartmouth",0,1200
"26","Sacramento State",0,1171.67056824335
"27","New Hampshire",0,1232.02709016634
"28","Princeton",0,1200
"29","Rutgers",1,1533.49654668832
"30","New Mexico State",1,1248.92084930342
"31","New Mexico",1,1375.37807695486
"32","Columbia",0,1200
"33","Cornell",0,1200
"34","Syracuse",1,1528.14502165213
"35","Bowling Green",1,1198.27943080936
"36","Miami (OH)",1,1373.02703836059
"37","Ohio State",1,1755.89975708665
"38","Ohio",1,1437.0348249646
"39","Oklahoma State",1,1617.06013610601
"40","Auburn",1,1658.22123307053
"41","Abilene Christian",0,1179.14883933469
"42","Air Force",1,1550.80590143782
"43","Akron",1,1145.42164093894
"44","Oklahoma",1,1798.483328309
"45","Alabama A&M",0,1175.62016528223
"46","Alabama State",0,1195.72971701174
"47","Alcorn State",0,1185.80886604906
"48","Tulsa",1,1424.65365887725
"49","Appalachian State",1,1641.8465395134
"50","Arkansas-Pine Bluff",0,1177.5193776996
"51","Arkansas State",1,1365.219662822
"52","Oregon State",1,1554.13637316725
"53","Austin Peay",0,1185.72417909954
"54","Ball State",1,1404.0897009898
"55","Bethune-Cookman",0,1188.49322973803
"56","Bucknell",0,1180.67832301121
"57","Buffalo",1,1487.62254307749
"58","Butler",0,1200
"59","Campbell",0,1168.4604268294
"60","Canisius",0,1200
"61","San Diego State",1,1632.54354023452
"62","Carroll (MT)",0,1200
"63","Central Arkansas",0,1203.68765896252
"64","Central Connecticut",0,1179.98006376106
"65","UCF",1,1561.78539088626
"66","Central Michigan",1,1394.01760316248
"67","Charleston Southern",0,1286.44851307564
"68","Penn State",1,1643.43327346286
"69","Cincinnati",1,1729.20849006638
"70","Colgate",0,1172.08869957017
"71","Davidson",0,1200
"72","Dayton",0,1200
"73","Delaware State",0,1213.1576824545
"74","Temple",1,1438.48006789563
"75","Drake",0,1200
"76","Duquesne",0,1189.76860184592
"77","Penn",0,1200
"78","East Tenn. St.",0,1175.9623627473
"79","Eastern Illinois",0,1181.90438682242
"80","Eastern Kentucky",0,1172.41172761032
"81","Eastern Michigan",1,1258.02135205559
"82","Pittsburgh",1,1566.4770066718
"83","Elon",0,1138.93414285802
"84","Fairfield",0,1200
"85","Villanova",0,1223.43256665339
"86","Florida Atlantic",1,1401.30550559987
"87","Florida International",1,1393.58972080148
"88","Fordham",0,1143.13894761612
"89","Gardner-Webb",0,1156.77823166863
"90","Georgetown (KY)",0,1200
"91","Georgia State",1,1339.42611265832
"92","Brown",0,1200
"93","Hampton",0,1196.82853922627
"94","Rhode Island",0,1143.56365209781
"95","Hofstra",0,1200
"96","Houston Baptist",0,1200
"97","Clemson",1,1909.89905080317
"98","Illinois State",0,1224.99928989916
"99","Iowa",1,1566.65104783241
"100","Jackson State",0,1200
"101","San Jose St",1,1426.39600630663
"102","Kansas",1,1402.38356637089
"103","Kansas State",1,1455.16500459839
"104","Kent State",1,1308.39443591432
"105","Furman",0,1224.74296850074
"106","Lamar",0,1198.42209211279
"107","La Salle",0,1200
"108","Lehigh",0,1228.09292687816
"109","South Dakota",0,1226.71882902765
"110","Liberty",1,1476.70645624064
"111","Louisiana Tech",1,1359.98671086282
"112","Memphis",1,1622.89087065293
"113","Chattanooga",0,1173.82948016815
"114","Marist",0,1200
"115","McNeese",0,1228.4989228003
