"","Team","FBS","ELO"
"1","Boston College",1,1605.36824709722
"2","Holy Cross",0,1277.20358338711
"3","Harvard",0,1280.19618303644
"4","Northeastern",0,1157.12953906474
"5","Long Island University",0,1022.42527859934
"6","UMass",1,1090.76576978004
"7","Towson",0,1327.68383426443
"8","Arizona",1,1382.80657217537
"9","Maryland",1,1538.27068826427
"10","Michigan State",1,1781.48191528996
"11","Cal Poly",0,1095.32316733485
"12","Michigan",1,1819.01014516646
"13","Minnesota",1,1735.37409098044
"14","Missouri",1,1638.761332939
"15","Ole Miss",1,1730.85452691885
"16","Montana State",0,1392.76204073287
"17","Montana",0,1434.79297212029
"18","Duke",1,1478.37525936719
"19","East Carolina",1,1403.22095573573
"20","NC State",1,1711.93811935788
"21","North Carolina",1,1657.87484051261
"22","Wake Forest",1,1712.1340356911
"23","North Dakota",0,1365.01046697722
"24","Nebraska",1,1525.10435685923
"25","Dartmouth",0,1470.7468602757
"26","Sacramento State",0,1245.66504410476
"27","New Hampshire",0,1378.47142333881
"28","Princeton",0,1426.04477577368
"29","Rutgers",1,1440.73522940635
"30","New Mexico State",1,1125.8632304988
"31","New Mexico",1,1226.32455318302
"32","Columbia",0,1155.51839990395
"33","Cornell",0,1078.39461546611
"34","Syracuse",1,1532.89057172303
"35","Bowling Green",1,1158.57896532369
"36","Miami (OH)",1,1399.14449203433
"37","Ohio State",1,2109.29729284902
"38","Ohio",1,1313.68592148502
"39","Oklahoma State",1,1844.66978519167
"40","Auburn",1,1853.29056474308
"41","Abilene Christian",0,1098.2457781014
"42","Air Force",1,1603.75227035558
"43","Akron",1,1125.66350962219
"44","Oklahoma",1,2050.26064806302
"45","Alabama A&M",0,1157.30065897205
"46","Alabama State",0,1049.45389147489
"47","Alcorn State",0,1057.4001591708
"48","Tulsa",1,1475.50647191306
"49","Appalachian State",1,1641.877515728
"50","Arkansas-Pine Bluff",0,907.283033623478
"51","Arkansas State",1,1297.04448109097
"52","Oregon State",1,1559.25915448076
"53","Austin Peay",0,1224.15465160334
"54","Ball State",1,1428.95934211438
"55","Bethune-Cookman",0,1120.15840404833
"56","Bucknell",0,1001.73204884457
"57","Buffalo",1,1396.63329601145
"58","Butler",0,788.613081562203
"59","Campbell",0,1024.21498574899
"60","Canisius",0,1053.83865013903
"61","San Diego State",1,1604.75000455132
"62","Carroll (MT)",0,1175.27953668456
"63","Central Arkansas",0,1283.63361633524
"64","Central Connecticut",0,1230.31587256194
"65","UCF",1,1677.80922034011
"66","Central Michigan",1,1368.8239744197
"67","Charleston Southern",0,1207.47524805911
"68","Penn State",1,1795.62563530188
"69","Cincinnati",1,1829.41046921914
"70","Colgate",0,1177.40114267148
"71","Davidson",0,947.728200786672
"72","Dayton",0,1177.40592682595
"73","Delaware State",0,806.319164074754
"74","Temple",1,1435.15406615225
"75","Drake",0,1066.03024526778
"76","Duquesne",0,1262.02153617742
"77","Penn",0,1249.53586144234
"78","East Tenn. St.",0,1184.55100910715
"79","Eastern Illinois",0,985.803268189813
"80","Eastern Kentucky",0,1181.678884572
"81","Eastern Michigan",1,1334.63582969368
"82","Pittsburgh",1,1720.2717695812
"83","Elon",0,1193.03817400386
"84","Fairfield",0,1195.21041121012
"85","Villanova",0,1387.09166837949
"86","Florida Atlantic",1,1504.02777742714
"87","Florida International",1,1225.45185666514
"88","Fordham",0,1123.56079855503
"89","Gardner-Webb",0,1010.65153945578
"90","Georgetown (KY)",0,1182.50331402732
"91","Georgia State",1,1406.02786979934
"92","Brown",0,979.052309173691
"93","Hampton",0,1030.64169090596
"94","Rhode Island",0,1226.75277137567
"95","Hofstra",0,1262.24835442093
"96","Houston Baptist",0,908.97112787551
"97","Clemson",1,2041.40751202289
"98","Illinois State",0,1351.85806282478
"99","Iowa",1,1835.50116316768
"100","Jackson State",0,1030.06352948237
"101","San Jose St",1,1442.62613630528
"102","Kansas",1,1267.7195094303
"103","Kansas State",1,1697.91415799973
"104","Kent State",1,1356.20587260941
"105","Furman",0,1222.29675847856
"106","Lamar",0,1059.19487951956
"107","La Salle",0,905.541815535269
"108","Lehigh",0,1012.41417848088
"109","South Dakota",0,1224.34027290674
"110","Liberty",1,1523.72310974691
"111","Louisiana Tech",1,1389.65728971635
"112","Memphis",1,1617.99436164239
"113","Chattanooga",0,1252.28162873997
"114","Marist",0,937.813869740313
"115","McNeese",0,1215.19152823296
"116","Vanderbilt",1,1391.81216248495
"117","Mercer",0,1160.83562019416
"118","Baylor",1,1738.38439017644
"119","Miami",1,1708.6456411217
"120","Middle Tennessee",1,1324.80664180165
"121","Stanford",1,1677.15047544984
"122","Mississippi Valley State",0,683.765058353006
"123","Monmouth",0,1346.68091121937
"124","Morehead State",0,886.386689225257
"125","Morgan State",0,871.809815619759
"126","Rice",1,1228.01238836284
"127","Navy",1,1468.63801662865
"128","NC Central",0,1044.34188091679
"129","Charlotte",1,1305.50674938375
"130","UL Monroe",1,1208.55836561903
"131","UNLV",1,1194.60467186596
"132","Nevada",1,1559.82005340158
"133","Nicholls",0,1296.39861631745
"134","North Carolina A&T",0,1348.83727929333
"135","North Dakota State",0,1786.98990425281
"136","Texas A&M",1,1923.41668210421
"137","Norfolk State",0,1043.45051364307
"138","North Alabama",0,1108.19951308357
"139","Northern Colorado",0,1038.83548457116
"140","Northern Illinois",1,1416.33784113278
"141","Northern Iowa",0,1441.14295392507
"142","CS-Northridge",0,1195.22451379524
"143","Northern Arizona",0,1170.22536830846
"144","Northwestern State",0,1008.75332923103
"145","Houston",1,1570.71340704672
"146","Oregon",1,1859.77781551344
