"","Team","FBS"
"1","Boston College",1
"2","Holy Cross",0
"3","Northeastern",0
"4","UMass",1
"5","Arizona",1
"6","Maryland",1
"7","Michigan State",1
"8","Cal Poly",0
"9","Michigan",1
"10","Minnesota",1
"11","Missouri",1
"12","Ole Miss",1
"13","Montana State",0
"14","Montana",0
"15","Duke",1
"16","East Carolina",1
"17","NC State",1
"18","North Carolina",1
"19","Wake Forest",1
"20","North Dakota",0
"21","Nebraska",1
"22","Sacramento State",0
"23","New Hampshire",0
"24","Rutgers",1
"25","New Mexico State",1
"26","New Mexico",1
"27","Syracuse",1
"28","Bowling Green",1
"29","Miami (OH)",1
"30","Ohio State",1
"31","Ohio",1
"32","Oklahoma State",1
"33","Auburn",1
"34","Abilene Christian",0
"35","Air Force",1
"36","Akron",1
"37","Oklahoma",1
"38","Alabama A&M",0
"39","Alabama State",0
"40","Alcorn State",0
"41","Tulsa",1
"42","Appalachian State",1
"43","Arkansas-Pine Bluff",0
"44","Arkansas State",1
"45","Oregon State",1
"46","Austin Peay",0
"47","Ball State",1
"48","Bethune-Cookman",0
"49","Bucknell",0
"50","Buffalo",1
"51","Campbell",0
"52","San Diego State",1
"53","Central Arkansas",0
"54","Central Connecticut",0
"55","UCF",1
"56","Central Michigan",1
"57","Charleston Southern",0
"58","Penn State",1
"59","Cincinnati",1
"60","Colgate",0
"61","Delaware State",0
"62","Temple",1
"63","Duquesne",0
"64","East Tenn. St.",0
"65","Eastern Illinois",0
"66","Eastern Kentucky",0
"67","Eastern Michigan",1
"68","Pittsburgh",1
"69","Elon",0
"70","Villanova",0
"71","Florida Atlantic",1
"72","Florida International",1
"73","Fordham",0
"74","Gardner-Webb",0
"75","Georgia State",1
"76","Hampton",0
"77","Rhode Island",0
"78","Clemson",1
"79","Illinois State",0
"80","Iowa",1
"81","San Jose St",1
"82","Kansas",1
"83","Kansas State",1
"84","Kent State",1
"85","Furman",0
"86","Lamar",0
"87","Lehigh",0
"88","South Dakota",0
"89","Liberty",1
"90","Louisiana Tech",1
"91","Memphis",1
"92","Chattanooga",0
"93","McNeese",0
"94","Vanderbilt",1
"95","Mercer",0
"96","Baylor",1
"97","Miami",1
"98","Middle Tennessee",1
"99","Stanford",1
"100","Mississippi Valley State",0
"101","Monmouth",0
"102","Morehead State",0
"103","Morgan State",0
"104","Rice",1
"105","Navy",1
"106","North Carolina Central",0
"107","Charlotte",1
"108","UL Monroe",1
"109","UNLV",1
"110","Nevada",1
"111","Nicholls State",0
"112","North Carolina A&T",0
"113","North Dakota State",0
"114","Texas A&M",1
"115","Norfolk State",0
"116","North Alabama",0
"117","Northern Illinois",1
"118","Northern Iowa",0
"119","CSU Northridge",0
"120","Northern Arizona",0
"121","Northwestern State",0
"122","Houston",1
"123","Oregon",1
"124","North Texas",1
"125","California",1
"126","Portland State",0
"127","Presbyterian College",0
"128","Purdue",1
"129","Texas",1
"130","BYU",1
"131","Robert Morris",0
"132","Southern Utah",0
"133","Sam Houston State",0
"134","Samford",0
"135","Utah",1
"136","Southeast Missouri State",0
"137","James Madison",0
"138","SMU",1
"139","South Carolina State",0
"140","Richmond",0
"141","Southern Miss",1
"142","South Carolina",1
"143","Virginia",1
"144","Virginia Tech",1
"145","UCLA",1
"146","Stephen F Austin",0
"147","Stony Brook",0
"148","Missouri State",0
"149","TCU",1
"150","Tennessee-Martin",0
"151","Tennessee",1
"152","Tennessee State",0
"153","Tennessee Tech",0
"154","UT San Antonio",1
"155","UTEP",1
"156","Washington",1
"157","Texas Southern",0
"158","Texas Tech",1
"159","Citadel",0
"160","Toledo",1
"161","Washington State",1
"162","Troy",1
"163","Tulane",1
"164","Virginia Military Institute",0
"165","Wagner",0
"166","Weber State",0
"167","Western Illinois",0
"168","Western Michigan",1
"169","Western Carolina",0
"170","William & Mary",0
"171","Wofford",0
"172","Wisconsin",1
"173","Wyoming",1
"174","Youngstown State",0
"175","Grambling",0
"176","Marshall",1
"177","West Virginia",1
"178","Fresno State",1
"179","Bryant",0
"180","Indiana State",0
"181","Georgia Southern",1
"182","Incarnate Word",0
"183","Jacksonville",0
"184","Old Dominion",1
"185","USC",1
"186","UC Davis",0
"187","Idaho State",0
"188","Louisiana",1
"189","Maine",0
"190","Lafayette",0
"191","Coastal Carolina",1
"192","Texas State",1
"193","Utah State",1
"194","Eastern Washington",0
"195","Alabama",1
"196","Kennesaw State",0
"197","Mississippi State",1
"198","Army",1
"199","Illinois",1
"200","Colorado State",1
"201","Colorado",1
"202","Albany",0
"203","Connecticut",1
"204","Yale",0
"205","Howard",0
"206","Delaware",0
"207","UAB",1
"208","Florida A&M",0
"209","Florida State",1
"210","Jacksonville State",0
"211","Florida",1
"212","South Florida",1
"213","Georgia Tech",1
"214","South Alabama",1
"215","Georgia",1
"216","Hawai'i",1
"217","Iowa State",1
"218","Boise State",1
"219","Idaho",0
"220","Northwestern",1
"221","Southern Illinois",0
"222","Arkansas",1
"223","Indiana",1
"224","Notre Dame",1
"225","Arizona State",1
"226","Murray State",0
"227","Kentucky",1
"228","Louisville",1
"229","Western Kentucky",1
"230","LSU",1
"231","Bowie State",0
"232","Chowan",0
"233","Johnson C Smith",0
"234","Kentucky State",0
"235","Lenoir-Rhyne",0
"236","Mars Hill",0
"237","Savannah State",0
"238","TBD",0
"239","UNC Pembroke",0
"240","Wesley College",0
"241","West Virginia Tech",0
"242","Winston-Salem",0
